Province,Latitude,Longitude
Alberta [GAZ:00002566],53.5461,-113.4938
British Columbia [GAZ:00002562],49.2827,-123.1207
Manitoba [GAZ:00002571],49.8951,-97.1384
New Brunswick [GAZ:00002570],45.9636,-66.6431
Newfoundland and Labrador [GAZ:00002567],47.5615,-52.7126
Northwest Territories [GAZ:00002575],62.454,-114.3718
Nova Scotia [GAZ:00002565],44.6488,-63.5752
Nunavut [GAZ:00002574],63.7467,-68.517
Ontario [GAZ:00002563],43.6532,-79.3832
Prince Edward Island [GAZ:00002572],46.2382,-63.1311
Quebec [GAZ:00002569],46.8139,-71.208
Saskatchewan [GAZ:00002564],50.4452,-104.6189
Yukon [GAZ:00002576],60.7212,-135.0568
